,Unique Key,Created Date,Complaint Type,Descriptor,Latitude,Longitude
,count,count,count,count,count,count
Incident Zip,,,,,,
11106.0,451,451,451,451,451,451
11109.0,1,1,1,1,1,1
11201.0,316,316,316,316,316,316
11203.0,2539,2539,2539,2539,2539,2539
11204.0,1230,1230,1230,1230,1230,1230
11205.0,521,521,521,521,521,521
11206.0,1121,1121,1121,1121,1121,1121
11207.0,2732,2732,2732,2732,2732,2732
11208.0,2200,2200,2200,2200,2200,2200
11209.0,1070,1070,1070,1070,1070,1070
11210.0,1462,1462,1462,1462,1462,1462
11211.0,859,859,859,859,859,859
11212.0,3228,3228,3228,3228,3228,3228
11213.0,3532,3532,3532,3532,3532,3532
11214.0,1329,1329,1329,1329,1329,1329
11215.0,620,620,620,620,620,620
11216.0,2411,2411,2411,2411,2411,2411
11217.0,297,297,297,297,297,297
11218.0,1303,1303,1303,1303,1303,1303
11219.0,896,896,896,896,896,896
11220.0,1264,1264,1264,1264,1264,1264
11221.0,2659,2659,2659,2659,2659,2659
11222.0,563,563,563,563,563,563
11223.0,1184,1184,1184,1184,1184,1184
11224.0,570,570,570,570,570,570
11225.0,3574,3574,3574,3574,3574,3574
11226.0,6025,6025,6025,6025,6025,6025
11228.0,139,139,139,139,139,139
11229.0,1165,1165,1165,1165,1165,1165
11230.0,1983,1983,1983,1983,1983,1983
11231.0,212,212,212,212,212,212
11232.0,436,436,436,436,436,436
11233.0,2767,2767,2767,2767,2767,2767
11234.0,634,634,634,634,634,634
11235.0,1345,1345,1345,1345,1345,1345
11236.0,1169,1169,1169,1169,1169,1169
11237.0,1514,1514,1514,1514,1514,1514
11238.0,1711,1711,1711,1711,1711,1711
11239.0,66,66,66,66,66,66
11241.0,1,1,1,1,1,1
11249.0,268,268,268,268,268,268
11354.0,374,374,374,374,374,374
11355.0,655,655,655,655,655,655
11356.0,76,76,76,76,76,76
11357.0,89,89,89,89,89,89
11358.0,126,126,126,126,126,126
11360.0,37,37,37,37,37,37
11361.0,76,76,76,76,76,76
11362.0,9,9,9,9,9,9
11363.0,25,25,25,25,25,25
11364.0,124,124,124,124,124,124
11365.0,86,86,86,86,86,86
11366.0,34,34,34,34,34,34
11367.0,559,559,559,559,559,559
11368.0,981,981,981,981,981,981
11369.0,216,216,216,216,216,216
11370.0,82,82,82,82,82,82
11372.0,804,804,804,804,804,804
11373.0,1156,1156,1156,1156,1156,1156
11374.0,528,528,528,528,528,528
11375.0,668,668,668,668,668,668
11377.0,870,870,870,870,870,870
11378.0,219,219,219,219,219,219
11379.0,101,101,101,101,101,101
11385.0,1275,1275,1275,1275,1275,1275
11411.0,76,76,76,76,76,76
11412.0,407,407,407,407,407,407
11413.0,281,281,281,281,281,281
11414.0,206,206,206,206,206,206
11415.0,516,516,516,516,516,516
11416.0,226,226,226,226,226,226
11417.0,184,184,184,184,184,184
11418.0,437,437,437,437,437,437
11419.0,360,360,360,360,360,360
11420.0,297,297,297,297,297,297
11421.0,313,313,313,313,313,313
11422.0,121,121,121,121,121,121
11423.0,363,363,363,363,363,363
11426.0,17,17,17,17,17,17
11427.0,268,268,268,268,268,268
11428.0,86,86,86,86,86,86
11429.0,180,180,180,180,180,180
11430.0,1,1,1,1,1,1
11432.0,791,791,791,791,791,791
11433.0,405,405,405,405,405,405
11434.0,515,515,515,515,515,515
11435.0,632,632,632,632,632,632
11436.0,237,237,237,237,237,237
11691.0,1069,1069,1069,1069,1069,1069
11692.0,292,292,292,292,292,292
11693.0,114,114,114,114,114,114
11694.0,327,327,327,327,327,327
11697.0,7,7,7,7,7,7
